slug,tag_name,month,year,day,attendance,fullname,administrator_id,country
2014-07-23-jfrc,SWC,07,2014,23,26,Howard Hughes Medical Institute,173,US
2014-07-24-beacon,DC,07,2014,24,35,BEACON,302,US
2014-07-28-stanford,SWC,07,2014,28,35,Stanford University,173,US
2014-07-30-pyconaus,SWC,07,2014,30,40,University of Queensland,173,AU
2014-08-05-frf,SWC,08,2014,05,8,US Army Engineer Research and Development Center,173,US
2014-08-06-nypl,LC,08,2014,06,65,New York Public Library,173,US
2014-08-11-wustl,SWC,08,2014,11,56,Washington University in St. Louis,173,US
2014-08-12-vu,SWC,08,2014,12,40,Vanderbilt University,173,US
2014-08-14-stanford,SWC,08,2014,14,35,Stanford University,173,US
2014-08-18-ufrj,SWC,08,2014,18,15,Universidade Federal do Rio de Janeiro,173,BR
2014-08-18-unimelb,SWC,08,2014,18,45,University of Melbourne,173,AU
2014-08-21-kiel,SWC,08,2014,21,35,GEOMAR (Kiel),306,DE
2014-08-21-upenn,SWC,08,2014,21,25,University of Pennsylvania,173,US
2014-08-23-ttu,SWC,08,2014,23,29,Texas Tech University,173,US
2014-08-25-wisc,SWC,08,2014,25,37,University of Wisconsin - Madison,173,US
2014-08-26-cam,SWC,08,2014,26,25,University of Cambridge,278,GB
2014-08-28-ufrgs,SWC,08,2014,28,30,Universidade Federal do Rio Grande do Sul,173,BR
2014-09-01-ccsl,SWC,09,2014,01,12,Centro de Competencia em Software Livre,173,BR
2014-09-04-ccsl,SWC,09,2014,04,14,Centro de Competencia em Software Livre,173,BR
2014-09-10-ttt-online,"TTT,online",09,2014,10,81,Software Carpentry,173,W3
2014-09-11-udel,SWC,09,2014,11,40,University of Delaware,173,US
2014-09-13-uwaterloo,SWC,09,2014,13,25,University of Waterloo,297,CA
2014-09-15-unimelb,SWC,09,2014,15,44,University of Melbourne,173,AU
2014-09-16-imperial,SWC,09,2014,16,31,Imperial College London,278,GB
2014-09-18-chicago,SWC,09,2014,18,40,University of Chicago,173,US
2014-09-22-lbl,SWC,09,2014,22,20,Lawrence Berkeley National Laboratory,173,US
2014-09-22-ttt-uva,"TTT,online",09,2014,22,31,Software Carpentry,173,W3
2014-09-24-frb,SWC,09,2014,24,19,Federal Reserve Board,173,US
2014-09-25-ubc,SWC,09,2014,25,24,University of British Columbia,297,CA
2014-09-27-asu,SWC,09,2014,27,35,Arizona State University,173,US
2014-09-29-iDigBio,DC,09,2014,29,24,iDigBio,302,US
2014-09-30-msu,SWC,09,2014,30,19,Michigan State University,173,US
2014-10-06-indiana,SWC,10,2014,06,12,Indiana University,173,US
2014-10-06-osu,SWC,10,2014,06,30,Ohio State,173,US
2014-10-06-rotman,SWC,10,2014,06,71,University of Toronto,297,CA
2014-10-11-yale,SWC,10,2014,11,17,Yale University,173,US
2014-10-13-geosim,SWC,10,2014,13,28,GFZ Potsdam,306,DE
2014-10-13-rice,SWC,10,2014,13,40,Rice University,173,US
2014-10-22-ttt-tgac,"TTT,online",10,2014,22,41,Software Carpentry,173,W3
2014-10-30-utoronto,SWC,10,2014,30,24,University of Toronto,297,CA
2014-10-31-USyd,SWC,10,2014,31,27,University of Sydney,173,AU
2014-10-31-nw,SWC,10,2014,31,50,Northwestern University,173,US
2014-11-05-UCL,SWC,11,2014,05,27,University College London,278,GB
2014-11-05-uclhep,SWC,11,2014,05,16,University College London,278,GB
2014-11-06-UZH,SWC,11,2014,06,36,University of Zurich,306,CH
2014-11-06-fmv,SWC,11,2014,06,21,Universite de Montreal,297,CA
2014-11-07-harvard,SWC,11,2014,07,37,Harvard University,173,US
2014-11-10-manchester,SWC,11,2014,10,29,University of Manchester,278,GB
2014-11-12-embl,SWC,11,2014,12,23,European Molecular Biology Laboratory,306,DE
2014-11-12-ttt-washington,"TTT,online",11,2014,12,20,Software Carpentry,173,W3
2014-11-17-liverpool,SWC,11,2014,17,30,University of Liverpool,278,GB
2014-11-24-leeds,SWC,11,2014,24,20,University of Leeds,278,GB
2014-11-27-elixiruk-manchester,SWC,11,2014,27,29,University of Manchester,278,GB
2014-11-27-uct,SWC,11,2014,27,84,University of Cape Town,173,ZA
2014-12-03-edinburgh,SWC,12,2014,03,35,University of Edinburgh,278,GB
2014-12-06-wise-krakow,SWC,12,2014,06,72,Jagiellonian University,306,PL
2014-12-08-combine-r,SWC,12,2014,08,42,University of Melbourne,173,AU
2014-12-11-ufsc,SWC,12,2014,11,17,Universidade Federal de Santa Catarina,173,BR
2014-12-11-ugsupa,SWC,12,2014,11,14,University of Glasgow,278,GB
2014-12-14-epl,LC,12,2014,14,14,Edmonton Public Library,297,CA
2014-12-15-UChicago,SWC,12,2014,15,16,University of Chicago,173,US
